Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
SUL;41;PR;410030;AGUDOS DO SUL;6;0.9%;15;2.26%;420;63.25%;121;18.22%;85;12.8%;17;2.56%;664
SUL;41;PR;410040;ALMIRANTE TAMANDARE;24;0.52%;88;1.91%;2.826;61.41%;940;20.43%;538;11.69%;186;4.04%;4.602
SUL;41;PR;410045;ALTAMIRA DO PARANA;0;-;3;1.96%;83;54.25%;40;26.14%;21;13.73%;6;3.92%;153
SUL;41;PR;412862;ALTO PARAISO;0;-;3;3.49%;45;52.33%;19;22.09%;14;16.28%;5;5.81%;86
SUL;41;PR;410060;ALTO PARANA;7;0.73%;28;2.9%;578;59.96%;192;19.92%;108;11.2%;51;5.29%;964
SUL;41;PR;410070;ALTO PIQUIRI;1;0.3%;8;2.44%;188;57.32%;81;24.7%;37;11.28%;13;3.96%;328
SUL;41;PR;410050;ALTONIA;1;0.5%;6;2.97%;120;59.41%;42;20.79%;24;11.88%;9;4.46%;202
SUL;41;PR;410080;ALVORADA DO SUL;0;-;0;-;75;57.25%;26;19.85%;27;20.61%;3;2.29%;131
SUL;41;PR;410090;AMAPORA;4;0.95%;10;2.38%;252;60%;71;16.9%;57;13.57%;26;6.19%;420
SUL;41;PR;410100;AMPERE;6;0.42%;42;2.97%;879;62.21%;295;20.88%;156;11.04%;35;2.48%;1.413
SUL;41;PR;410105;ANAHY;2;0.7%;10;3.51%;162;56.84%;66;23.16%;42;14.74%;3;1.05%;285
SUL;41;PR;410110;ANDIRA;16;1.54%;44;4.24%;625;60.27%;197;19%;110;10.61%;45;4.34%;1.037
SUL;41;PR;410115;ANGULO;1;0.36%;4;1.45%;148;53.82%;63;22.91%;43;15.64%;16;5.82%;275
SUL;41;PR;410120;ANTONINA;10;0.92%;36;3.3%;698;64.04%;205;18.81%;110;10.09%;31;2.84%;1.090
SUL;41;PR;410130;ANTONIO OLINTO;3;0.84%;4;1.11%;212;59.05%;78;21.73%;48;13.37%;14;3.9%;359
SUL;41;PR;410140;APUCARANA;39;1.37%;66;2.31%;1.678;58.75%;574;20.1%;386;13.52%;113;3.96%;2.856
SUL;41;PR;410150;ARAPONGAS;15;0.52%;70;2.41%;1.709;58.93%;592;20.41%;378;13.03%;136;4.69%;2.900
SUL;41;PR;410160;ARAPOTI;2;0.41%;20;4.07%;281;57.23%;100;20.37%;73;14.87%;15;3.05%;491
SUL;41;PR;410165;ARAPUA;0;-;1;0.87%;73;63.48%;28;24.35%;12;10.43%;1;0.87%;115
SUL;41;PR;410170;ARARUNA;7;0.78%;28;3.1%;516;57.21%;212;23.5%;107;11.86%;32;3.55%;902
SUL;41;PR;410180;ARAUCARIA;27;0.6%;87;1.94%;2.627;58.65%;942;21.03%;618;13.8%;178;3.97%;4.479
SUL;41;PR;410185;ARIRANHA DO IVAI;0;-;2;6.06%;26;78.79%;3;9.09%;2;6.06%;0;-;33
SUL;41;PR;410190;ASSAI;5;1.99%;6;2.39%;142;56.57%;56;22.31%;34;13.55%;8;3.19%;251
SUL;41;PR;410200;ASSIS CHATEAUBRIAND;15;0.8%;43;2.31%;1.100;59.01%;401;21.51%;232;12.45%;73;3.92%;1.864
SUL;41;PR;410210;ASTORGA;8;0.79%;35;3.46%;584;57.76%;194;19.19%;130;12.86%;60;5.93%;1.011
SUL;41;PR;410220;ATALAIA;1;0.26%;4;1.04%;221;57.25%;79;20.47%;65;16.84%;16;4.15%;386
SUL;41;PR;410230;BALSA NOVA;4;0.49%;22;2.68%;526;64.15%;143;17.44%;100;12.2%;25;3.05%;820
SUL;41;PR;410240;BANDEIRANTES;7;1.14%;20;3.27%;367;59.97%;98;16.01%;89;14.54%;31;5.07%;612
SUL;41;PR;410250;BARBOSA FERRAZ;6;1.36%;9;2.04%;257;58.28%;91;20.63%;62;14.06%;16;3.63%;441
SUL;41;PR;410270;BARRA DO JACARE;0;-;3;5.26%;30;52.63%;13;22.81%;9;15.79%;2;3.51%;57
SUL;41;PR;410260;BARRACAO;3;0.49%;10;1.62%;389;63.05%;127;20.58%;70;11.35%;18;2.92%;617
SUL;41;PR;410275;BELA VISTA DA CAROBA;0;-;2;0.68%;182;62.12%;57;19.45%;43;14.68%;9;3.07%;293
SUL;41;PR;410280;BELA VISTA DO PARAISO;3;1.69%;9;5.06%;88;49.44%;43;24.16%;23;12.92%;12;6.74%;178
SUL;41;PR;410290;BITURUNA;6;0.46%;21;1.6%;823;62.54%;243;18.47%;169;12.84%;54;4.1%;1.316
SUL;41;PR;410300;BOA ESPERANCA;1;0.86%;3;2.59%;66;56.9%;29;25%;13;11.21%;4;3.45%;116
SUL;41;PR;410302;BOA ESPERANCA DO IGUACU;1;1.67%;3;5%;37;61.67%;11;18.33%;6;10%;2;3.33%;60
SUL;41;PR;410304;BOA VENTURA DE SAO ROQUE;0;-;2;1.75%;74;64.91%;22;19.3%;13;11.4%;3;2.63%;114
SUL;41;PR;410305;BOA VISTA DA APARECIDA;2;0.32%;11;1.78%;368;59.64%;147;23.82%;63;10.21%;26;4.21%;617
SUL;41;PR;410310;BOCAIUVA DO SUL;3;0.76%;5;1.27%;257;65.23%;75;19.04%;39;9.9%;15;3.81%;394
SUL;41;PR;410315;BOM JESUS DO SUL;0;-;12;2.81%;282;66.04%;85;19.91%;35;8.2%;13;3.04%;427
SUL;41;PR;410320;BOM SUCESSO;1;0.8%;3;2.4%;63;50.4%;23;18.4%;25;20%;10;8%;125
SUL;41;PR;410322;BOM SUCESSO DO SUL;0;-;1;0.62%;97;60.25%;34;21.12%;22;13.66%;7;4.35%;161
SUL;41;PR;410330;BORRAZOPOLIS;1;0.66%;0;-;96;63.16%;32;21.05%;18;11.84%;5;3.29%;152
SUL;41;PR;410335;BRAGANEY;3;1.35%;12;5.41%;131;59.01%;40;18.02%;25;11.26%;11;4.95%;222
SUL;41;PR;410337;BRASILANDIA DO SUL;0;-;0;-;57;55.88%;20;19.61%;21;20.59%;4;3.92%;102
SUL;41;PR;410340;CAFEARA;3;1.49%;4;1.98%;117;57.92%;34;16.83%;39;19.31%;5;2.48%;202
SUL;41;PR;410345;CAFELANDIA;3;0.3%;29;2.9%;616;61.6%;194;19.4%;121;12.1%;37;3.7%;1.000
SUL;41;PR;410347;CAFEZAL DO SUL;1;0.81%;2;1.61%;72;58.06%;28;22.58%;17;13.71%;4;3.23%;124
SUL;41;PR;410350;CALIFORNIA;2;2.86%;0;-;40;57.14%;18;25.71%;8;11.43%;2;2.86%;70
SUL;41;PR;410360;CAMBARA;3;0.58%;10;1.93%;295;56.95%;118;22.78%;56;10.81%;36;6.95%;518
SUL;41;PR;410370;CAMBE;11;0.47%;66;2.84%;1.374;59.02%;461;19.8%;312;13.4%;104;4.47%;2.328
SUL;41;PR;410380;CAMBIRA;2;0.36%;15;2.72%;305;55.25%;121;21.92%;88;15.94%;21;3.8%;552
SUL;41;PR;410390;CAMPINA DA LAGOA;8;0.74%;20;1.84%;652;60.09%;205;18.89%;151;13.92%;49;4.52%;1.085
SUL;41;PR;410395;CAMPINA DO SIMAO;0;-;2;5.26%;14;36.84%;11;28.95%;10;26.32%;1;2.63%;38
SUL;41;PR;410400;CAMPINA GRANDE DO SUL;17;0.75%;60;2.64%;1.395;61.4%;463;20.38%;273;12.02%;64;2.82%;2.272
SUL;41;PR;410405;CAMPO BONITO;1;6.67%;0;-;8;53.33%;3;20%;2;13.33%;1;6.67%;15
SUL;41;PR;410410;CAMPO DO TENENTE;4;0.38%;14;1.33%;624;59.49%;226;21.54%;146;13.92%;35;3.34%;1.049
SUL;41;PR;410420;CAMPO LARGO;35;0.79%;121;2.73%;2.759;62.34%;869;19.63%;502;11.34%;140;3.16%;4.426
SUL;41;PR;410425;CAMPO MAGRO;8;0.4%;30;1.51%;1.195;60.17%;437;22%;241;12.13%;75;3.78%;1.986
SUL;41;PR;410430;CAMPO MOURAO;19;0.78%;56;2.31%;1.453;59.99%;502;20.73%;287;11.85%;105;4.34%;2.422
SUL;41;PR;410440;CANDIDO DE ABREU;8;0.66%;22;1.83%;672;55.77%;280;23.24%;174;14.44%;49;4.07%;1.205
SUL;41;PR;410442;CANDOI;1;0.23%;7;1.59%;240;54.67%;113;25.74%;55;12.53%;23;5.24%;439
SUL;41;PR;410445;CANTAGALO;1;0.38%;5;1.89%;165;62.5%;55;20.83%;30;11.36%;8;3.03%;264
SUL;41;PR;410450;CAPANEMA;9;0.73%;41;3.33%;775;62.85%;231;18.73%;145;11.76%;32;2.6%;1.233
SUL;41;PR;410460;CAPITAO LEONIDAS MARQUES;1;0.32%;11;3.57%;193;62.66%;53;17.21%;38;12.34%;12;3.9%;308
SUL;41;PR;410465;CARAMBEI;6;0.79%;14;1.84%;451;59.34%;166;21.84%;96;12.63%;27;3.55%;760
SUL;41;PR;410470;CARLOPOLIS;5;1.32%;9;2.37%;220;58.05%;79;20.84%;48;12.66%;18;4.75%;379
SUL;41;PR;410480;CASCAVEL;96;0.56%;449;2.63%;10.571;62.01%;3.253;19.08%;2.076;12.18%;603;3.54%;17.048
SUL;41;PR;410490;CASTRO;21;0.65%;56;1.75%;1.986;61.89%;667;20.79%;366;11.41%;113;3.52%;3.209
SUL;41;PR;410500;CATANDUVAS;1;0.38%;5;1.91%;159;60.69%;52;19.85%;35;13.36%;10;3.82%;262
SUL;41;PR;410510;CENTENARIO DO SUL;1;0.6%;7;4.17%;107;63.69%;29;17.26%;20;11.9%;4;2.38%;168
SUL;41;PR;410520;CERRO AZUL;2;0.86%;7;3.02%;126;54.31%;57;24.57%;34;14.66%;6;2.59%;232
SUL;41;PR;410530;CEU AZUL;2;1.03%;3;1.54%;122;62.56%;35;17.95%;20;10.26%;13;6.67%;195
SUL;41;PR;410540;CHOPINZINHO;8;0.5%;22;1.38%;986;61.82%;333;20.88%;200;12.54%;46;2.88%;1.595
SUL;41;PR;410550;CIANORTE;18;0.54%;81;2.43%;2.017;60.52%;696;20.88%;398;11.94%;123;3.69%;3.333
SUL;41;PR;410560;CIDADE GAUCHA;0;-;0;-;50;59.52%;17;20.24%;13;15.48%;4;4.76%;84
SUL;41;PR;410570;CLEVELANDIA;3;1.12%;6;2.23%;154;57.25%;66;24.54%;28;10.41%;12;4.46%;269
SUL;41;PR;410580;COLOMBO;28;0.65%;92;2.14%;2.501;58.14%;908;21.11%;581;13.51%;192;4.46%;4.302
SUL;41;PR;410590;COLORADO;1;0.24%;9;2.2%;216;52.68%;99;24.15%;64;15.61%;21;5.12%;410
SUL;41;PR;410600;CONGONHINHAS;0;-;7;3.72%;118;62.77%;32;17.02%;21;11.17%;10;5.32%;188
SUL;41;PR;410610;CONSELHEIRO MAIRINCK;2;0.76%;11;4.18%;158;60.08%;47;17.87%;34;12.93%;11;4.18%;263
SUL;41;PR;410620;CONTENDA;3;0.27%;25;2.22%;679;60.25%;237;21.03%;132;11.71%;51;4.53%;1.127
SUL;41;PR;410630;CORBELIA;5;0.32%;26;1.68%;872;56.29%;361;23.31%;214;13.82%;71;4.58%;1.549
SUL;41;PR;410640;CORNELIO PROCOPIO;6;0.81%;12;1.63%;402;54.47%;157;21.27%;117;15.85%;44;5.96%;738
SUL;41;PR;410645;CORONEL DOMINGOS SOARES;2;0.29%;14;2.02%;439;63.26%;151;21.76%;60;8.65%;28;4.03%;694
SUL;41;PR;410650;CORONEL VIVIDA;8;0.58%;20;1.46%;848;61.72%;291;21.18%;154;11.21%;53;3.86%;1.374
SUL;41;PR;410655;CORUMBATAI DO SUL;0;-;1;1.2%;48;57.83%;21;25.3%;12;14.46%;1;1.2%;83
SUL;41;PR;410680;CRUZ MACHADO;0;-;7;2%;213;60.86%;79;22.57%;36;10.29%;15;4.29%;350
SUL;41;PR;410657;CRUZEIRO DO IGUACU;2;0.63%;2;0.63%;201;62.81%;73;22.81%;33;10.31%;9;2.81%;320
SUL;41;PR;410660;CRUZEIRO DO OESTE;7;1.81%;8;2.07%;242;62.69%;82;21.24%;39;10.1%;8;2.07%;386
SUL;41;PR;410670;CRUZEIRO DO SUL;2;3.39%;0;-;32;54.24%;13;22.03%;10;16.95%;2;3.39%;59
SUL;41;PR;410685;CRUZMALTINA;0;-;2;3.03%;40;60.61%;13;19.7%;8;12.12%;3;4.55%;66
SUL;41;PR;410690;CURITIBA;296;1.14%;632;2.43%;13.816;53.11%;5.255;20.2%;3.929;15.1%;2.087;8.02%;26.015
SUL;41;PR;410700;CURIUVA;1;0.17%;15;2.51%;345;57.79%;131;21.94%;80;13.4%;25;4.19%;597
SUL;41;PR;410715;DIAMANTE D'OESTE;1;0.22%;12;2.69%;262;58.74%;93;20.85%;64;14.35%;14;3.14%;446
SUL;41;PR;410710;DIAMANTE DO NORTE;2;0.65%;3;0.97%;176;57.14%;76;24.68%;39;12.66%;12;3.9%;308
SUL;41;PR;410712;DIAMANTE DO SUL;0;-;8;3.48%;158;68.7%;47;20.43%;10;4.35%;7;3.04%;230
SUL;41;PR;410720;DOIS VIZINHOS;15;0.56%;69;2.56%;1.681;62.33%;557;20.65%;298;11.05%;77;2.86%;2.697
SUL;41;PR;410725;DOURADINA;1;1.69%;2;3.39%;31;52.54%;15;25.42%;7;11.86%;3;5.08%;59
SUL;41;PR;410730;DOUTOR CAMARGO;1;0.49%;2;0.98%;120;58.54%;35;17.07%;38;18.54%;9;4.39%;205
SUL;41;PR;412863;DOUTOR ULYSSES;0;-;1;0.66%;105;69.54%;31;20.53%;13;8.61%;1;0.66%;151
SUL;41;PR;410740;ENEAS MARQUES;2;0.81%;5;2.02%;157;63.56%;44;17.81%;31;12.55%;8;3.24%;247
SUL;41;PR;410750;ENGENHEIRO BELTRAO;2;1.08%;4;2.16%;91;49.19%;40;21.62%;28;15.14%;20;10.81%;185
SUL;41;PR;410753;ENTRE RIOS DO OESTE;1;0.27%;8;2.17%;236;63.96%;76;20.6%;35;9.49%;13;3.52%;369
SUL;41;PR;410752;ESPERANCA NOVA;1;0.62%;2;1.23%;90;55.56%;39;24.07%;22;13.58%;8;4.94%;162
SUL;41;PR;410754;ESPIGAO ALTO DO IGUACU;4;0.78%;11;2.14%;343;66.73%;77;14.98%;62;12.06%;17;3.31%;514
SUL;41;PR;410755;FAROL;1;0.71%;1;0.71%;86;60.99%;32;22.7%;20;14.18%;1;0.71%;141
SUL;41;PR;410760;FAXINAL;6;0.99%;11;1.82%;367;60.56%;133;21.95%;78;12.87%;11;1.82%;606
SUL;41;PR;410765;FAZENDA RIO GRANDE;19;0.38%;91;1.82%;3.091;61.67%;1.026;20.47%;602;12.01%;183;3.65%;5.012
SUL;41;PR;410770;FENIX;0;-;2;1.22%;101;61.59%;28;17.07%;25;15.24%;8;4.88%;164
SUL;41;PR;410773;FERNANDES PINHEIRO;1;0.13%;12;1.62%;488;65.86%;138;18.62%;84;11.34%;18;2.43%;741
SUL;41;PR;410775;FIGUEIRA;3;0.61%;15;3.04%;299;60.65%;114;23.12%;49;9.94%;13;2.64%;493
SUL;41;PR;410785;FLOR DA SERRA DO SUL;0;-;5;2.28%;137;62.56%;42;19.18%;26;11.87%;9;4.11%;219
SUL;41;PR;410780;FLORAI;1;0.32%;3;0.95%;165;52.22%;73;23.1%;57;18.04%;17;5.38%;316
SUL;41;PR;410790;FLORESTA;4;2.27%;5;2.84%;91;51.7%;32;18.18%;31;17.61%;13;7.39%;176
SUL;41;PR;410800;FLORESTOPOLIS;4;1.15%;9;2.59%;210;60.52%;66;19.02%;43;12.39%;15;4.32%;347
SUL;41;PR;410810;FLORIDA;3;1.29%;5;2.15%;136;58.37%;42;18.03%;39;16.74%;8;3.43%;233
SUL;41;PR;410820;FORMOSA DO OESTE;1;0.36%;1;0.36%;158;57.04%;50;18.05%;51;18.41%;16;5.78%;277
SUL;41;PR;410830;FOZ DO IGUACU;27;0.78%;85;2.46%;1.931;55.99%;714;20.7%;511;14.82%;181;5.25%;3.449
SUL;41;PR;410845;FOZ DO JORDAO;0;-;0;-;45;69.23%;14;21.54%;5;7.69%;1;1.54%;65
SUL;41;PR;410832;FRANCISCO ALVES;6;2.04%;9;3.06%;168;57.14%;67;22.79%;30;10.2%;14;4.76%;294
SUL;41;PR;410840;FRANCISCO BELTRAO;19;0.63%;56;1.85%;1.892;62.63%;603;19.96%;342;11.32%;109;3.61%;3.021
SUL;41;PR;410850;GENERAL CARNEIRO;1;0.13%;12;1.52%;517;65.53%;149;18.88%;90;11.41%;20;2.53%;789
SUL;41;PR;410855;GODOY MOREIRA;0;-;1;1.15%;51;58.62%;20;22.99%;15;17.24%;0;-;87
SUL;41;PR;410860;GOIOERE;13;0.79%;29;1.77%;997;60.83%;327;19.95%;212;12.93%;61;3.72%;1.639
SUL;41;PR;410865;GOIOXIM;3;1.35%;2;0.9%;132;59.46%;51;22.97%;27;12.16%;7;3.15%;222
SUL;41;PR;410870;GRANDES RIOS;1;0.56%;4;2.26%;112;63.28%;34;19.21%;22;12.43%;4;2.26%;177
SUL;41;PR;410880;GUAIRA;7;0.84%;20;2.39%;445;53.23%;217;25.96%;112;13.4%;35;4.19%;836
SUL;41;PR;410890;GUAIRACA;1;0.67%;5;3.36%;91;61.07%;36;24.16%;9;6.04%;7;4.7%;149
SUL;41;PR;410895;GUAMIRANGA;1;0.2%;11;2.15%;331;64.65%;101;19.73%;44;8.59%;24;4.69%;512
SUL;41;PR;410900;GUAPIRAMA;2;0.95%;4;1.9%;109;51.9%;44;20.95%;37;17.62%;14;6.67%;210
SUL;41;PR;410910;GUAPOREMA;0;-;0;-;13;68.42%;2;10.53%;4;21.05%;0;-;19
SUL;41;PR;410920;GUARACI;0;-;1;2.13%;21;44.68%;10;21.28%;11;23.4%;4;8.51%;47
SUL;41;PR;410930;GUARANIACU;2;0.28%;20;2.79%;456;63.6%;137;19.11%;77;10.74%;25;3.49%;717
SUL;41;PR;410940;GUARAPUAVA;44;0.61%;163;2.25%;4.586;63.42%;1.411;19.51%;775;10.72%;252;3.48%;7.231
SUL;41;PR;410950;GUARAQUECABA;2;0.28%;21;2.98%;465;65.96%;153;21.7%;54;7.66%;10;1.42%;705
SUL;41;PR;410960;GUARATUBA;17;0.91%;43;2.3%;1.136;60.65%;391;20.88%;223;11.91%;63;3.36%;1.873
SUL;41;PR;410965;HONORIO SERPA;1;1.3%;2;2.6%;28;36.36%;16;20.78%;21;27.27%;9;11.69%;77
SUL;41;PR;410970;IBAITI;6;0.39%;39;2.52%;934;60.34%;312;20.16%;198;12.79%;59;3.81%;1.548
SUL;41;PR;410975;IBEMA;3;0.72%;7;1.67%;240;57.42%;109;26.08%;49;11.72%;10;2.39%;418
SUL;41;PR;410980;IBIPORA;17;0.67%;102;4.03%;1.505;59.44%;503;19.87%;305;12.05%;100;3.95%;2.532
SUL;41;PR;410990;ICARAIMA;2;0.38%;16;3.01%;313;58.83%;108;20.3%;66;12.41%;27;5.08%;532
SUL;41;PR;411000;IGUARACU;0;-;7;2.44%;155;54.01%;64;22.3%;43;14.98%;18;6.27%;287
SUL;41;PR;411005;IGUATU;0;-;5;2.5%;131;65.5%;37;18.5%;17;8.5%;10;5%;200
SUL;41;PR;411007;IMBAU;2;1.52%;3;2.27%;79;59.85%;25;18.94%;17;12.88%;6;4.55%;132
SUL;41;PR;411010;IMBITUVA;10;0.78%;30;2.34%;814;63.49%;243;18.95%;138;10.76%;47;3.67%;1.282
SUL;41;PR;411020;INACIO MARTINS;5;0.62%;16;2%;513;64.04%;162;20.22%;85;10.61%;20;2.5%;801
SUL;41;PR;411030;INAJA;0;-;3;1.8%;105;62.87%;29;17.37%;18;10.78%;12;7.19%;167
SUL;41;PR;411040;INDIANOPOLIS;4;0.75%;10;1.88%;306;57.52%;118;22.18%;72;13.53%;22;4.14%;532
SUL;41;PR;411050;IPIRANGA;6;0.87%;24;3.48%;462;67.05%;113;16.4%;68;9.87%;16;2.32%;689
SUL;41;PR;411060;IPORA;2;0.62%;5;1.56%;187;58.26%;68;21.18%;43;13.4%;16;4.98%;321
SUL;41;PR;411065;IRACEMA DO OESTE;1;0.46%;5;2.29%;121;55.5%;53;24.31%;31;14.22%;7;3.21%;218
SUL;41;PR;411070;IRATI;11;0.64%;33;1.92%;1.042;60.69%;371;21.61%;206;12%;54;3.15%;1.717
SUL;41;PR;411080;IRETAMA;6;1.14%;15;2.85%;337;63.95%;95;18.03%;55;10.44%;19;3.61%;527
SUL;41;PR;411090;ITAGUAJE;0;-;1;1.1%;64;70.33%;12;13.19%;9;9.89%;5;5.49%;91
SUL;41;PR;411095;ITAIPULANDIA;4;0.55%;25;3.41%;458;62.48%;132;18.01%;85;11.6%;29;3.96%;733
SUL;41;PR;411100;ITAMBARACA;3;1.1%;7;2.56%;169;61.9%;55;20.15%;28;10.26%;11;4.03%;273
SUL;41;PR;411110;ITAMBE;2;2.41%;2;2.41%;35;42.17%;23;27.71%;14;16.87%;7;8.43%;83
SUL;41;PR;411120;ITAPEJARA D'OESTE;9;1.06%;19;2.24%;535;63.09%;176;20.75%;86;10.14%;23;2.71%;848
SUL;41;PR;411125;ITAPERUCU;3;0.29%;17;1.62%;627;59.71%;246;23.43%;120;11.43%;37;3.52%;1.050
SUL;41;PR;411130;ITAUNA DO SUL;1;0.97%;4;3.88%;67;65.05%;17;16.5%;10;9.71%;4;3.88%;103
SUL;41;PR;411140;IVAI;0;-;7;1.25%;363;64.71%;112;19.96%;60;10.7%;19;3.39%;561
SUL;41;PR;411150;IVAIPORA;3;0.43%;13;1.86%;416;59.51%;147;21.03%;82;11.73%;38;5.44%;699
SUL;41;PR;411155;IVATE;2;0.66%;6;1.98%;157;51.82%;79;26.07%;44;14.52%;15;4.95%;303
SUL;41;PR;411160;IVATUBA;1;1.72%;2;3.45%;32;55.17%;10;17.24%;11;18.97%;2;3.45%;58
SUL;41;PR;411170;JABOTI;0;-;0;-;4;28.57%;6;42.86%;4;28.57%;0;-;14
SUL;41;PR;411180;JACAREZINHO;11;0.86%;41;3.21%;786;61.6%;243;19.04%;150;11.76%;45;3.53%;1.276
SUL;41;PR;411190;JAGUAPITA;7;1.14%;14;2.28%;366;59.61%;129;21.01%;66;10.75%;32;5.21%;614
SUL;41;PR;411200;JAGUARIAIVA;13;0.46%;63;2.25%;1.650;58.93%;605;21.61%;371;13.25%;98;3.5%;2.800
SUL;41;PR;411210;JANDAIA DO SUL;2;0.47%;12;2.84%;256;60.66%;71;16.82%;58;13.74%;23;5.45%;422
SUL;41;PR;411220;JANIOPOLIS;4;0.99%;6;1.49%;224;55.45%;85;21.04%;62;15.35%;23;5.69%;404
SUL;41;PR;411230;JAPIRA;3;0.65%;11;2.39%;288;62.61%;86;18.7%;57;12.39%;15;3.26%;460
SUL;41;PR;411240;JAPURA;1;0.67%;1;0.67%;93;62%;25;16.67%;23;15.33%;7;4.67%;150
SUL;41;PR;411250;JARDIM ALEGRE;3;0.61%;14;2.86%;301;61.43%;102;20.82%;54;11.02%;16;3.27%;490
SUL;41;PR;411260;JARDIM OLINDA;1;0.81%;1;0.81%;62;50%;34;27.42%;17;13.71%;9;7.26%;124
SUL;41;PR;411270;JATAIZINHO;3;0.78%;20;5.19%;221;57.4%;71;18.44%;53;13.77%;17;4.42%;385
SUL;41;PR;411275;JESUITAS;1;0.42%;4;1.69%;132;55.93%;60;25.42%;33;13.98%;6;2.54%;236
SUL;41;PR;411280;JOAQUIM TAVORA;3;0.53%;12;2.14%;329;58.54%;116;20.64%;77;13.7%;25;4.45%;562
SUL;41;PR;411290;JUNDIAI DO SUL;1;0.45%;7;3.17%;128;57.92%;39;17.65%;31;14.03%;15;6.79%;221
SUL;41;PR;411295;JURANDA;3;1.21%;11;4.45%;151;61.13%;37;14.98%;34;13.77%;11;4.45%;247
SUL;41;PR;411300;JUSSARA;0;-;2;2.53%;36;45.57%;19;24.05%;18;22.78%;4;5.06%;79
SUL;41;PR;411310;KALORE;2;2.3%;2;2.3%;55;63.22%;18;20.69%;8;9.2%;2;2.3%;87
SUL;41;PR;411320;LAPA;7;0.34%;31;1.5%;1.281;61.97%;424;20.51%;264;12.77%;60;2.9%;2.067
SUL;41;PR;411325;LARANJAL;4;1.02%;4;1.02%;251;64.03%;82;20.92%;38;9.69%;13;3.32%;392
SUL;41;PR;411330;LARANJEIRAS DO SUL;14;0.51%;64;2.33%;1.709;62.33%;569;20.75%;308;11.23%;78;2.84%;2.742
SUL;41;PR;411340;LEOPOLIS;1;1.06%;1;1.06%;37;39.36%;24;25.53%;23;24.47%;8;8.51%;94
SUL;41;PR;411342;LIDIANOPOLIS;1;0.85%;2;1.71%;68;58.12%;24;20.51%;18;15.38%;4;3.42%;117
SUL;41;PR;411345;LINDOESTE;1;0.31%;9;2.82%;172;53.92%;72;22.57%;43;13.48%;22;6.9%;319
SUL;41;PR;411350;LOANDA;8;0.56%;25;1.74%;857;59.51%;301;20.9%;194;13.47%;55;3.82%;1.440
SUL;41;PR;411360;LOBATO;3;0.74%;8;1.97%;241;59.21%;80;19.66%;63;15.48%;12;2.95%;407
SUL;41;PR;411370;LONDRINA;172;0.82%;631;3.02%;12.650;60.58%;4.131;19.78%;2.520;12.07%;776;3.72%;20.880
SUL;41;PR;411373;LUIZIANA;6;0.8%;23;3.05%;452;60.03%;162;21.51%;87;11.55%;23;3.05%;753
SUL;41;PR;411375;LUNARDELLI;1;0.22%;13;2.88%;266;58.98%;94;20.84%;63;13.97%;14;3.1%;451
SUL;41;PR;411380;LUPIONOPOLIS;1;0.79%;5;3.94%;71;55.91%;26;20.47%;17;13.39%;7;5.51%;127
SUL;41;PR;411390;MALLET;5;0.52%;19;1.98%;627;65.38%;192;20.02%;99;10.32%;17;1.77%;959
SUL;41;PR;411400;MAMBORE;5;0.65%;26;3.39%;452;59.01%;174;22.72%;81;10.57%;28;3.66%;766
SUL;41;PR;411410;MANDAGUACU;4;0.88%;15;3.3%;255;56.17%;99;21.81%;65;14.32%;16;3.52%;454
SUL;41;PR;411420;MANDAGUARI;4;1.58%;5;1.98%;145;57.31%;54;21.34%;33;13.04%;12;4.74%;253
SUL;41;PR;411430;MANDIRITUBA;16;1.86%;18;2.1%;572;66.67%;140;16.32%;80;9.32%;32;3.73%;858
SUL;41;PR;411435;MANFRINOPOLIS;0;-;3;3.9%;51;66.23%;10;12.99%;10;12.99%;3;3.9%;77
SUL;41;PR;411440;MANGUEIRINHA;3;0.27%;14;1.27%;667;60.53%;234;21.23%;142;12.89%;42;3.81%;1.102
SUL;41;PR;411450;MANOEL RIBAS;1;0.12%;15;1.76%;516;60.56%;207;24.3%;94;11.03%;19;2.23%;852
SUL;41;PR;411460;MARECHAL CANDIDO RONDON;19;0.84%;34;1.51%;1.489;65.94%;411;18.2%;242;10.72%;63;2.79%;2.258
SUL;41;PR;411470;MARIA HELENA;0;-;6;4.08%;77;52.38%;35;23.81%;17;11.56%;12;8.16%;147
SUL;41;PR;411480;MARIALVA;7;0.42%;46;2.73%;914;54.28%;363;21.56%;259;15.38%;95;5.64%;1.684
SUL;41;PR;411490;MARILANDIA DO SUL;3;0.92%;5;1.53%;198;60.55%;71;21.71%;37;11.31%;13;3.98%;327
SUL;41;PR;411500;MARILENA;8;1.35%;13;2.19%;386;65.09%;107;18.04%;61;10.29%;18;3.04%;593
SUL;41;PR;411510;MARILUZ;3;0.67%;10;2.25%;272;61.12%;91;20.45%;58;13.03%;11;2.47%;445
SUL;41;PR;411520;MARINGA;50;1.11%;120;2.67%;2.544;56.52%;923;20.51%;621;13.8%;243;5.4%;4.501
SUL;41;PR;411530;MARIOPOLIS;1;2.13%;1;2.13%;24;51.06%;12;25.53%;7;14.89%;2;4.26%;47
SUL;41;PR;411535;MARIPA;2;0.93%;6;2.79%;123;57.21%;55;25.58%;24;11.16%;5;2.33%;215
